siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
48,橋頭,33,細懸浮微粒,PM2.5,μg/m3,202507,9.5
48,橋頭,38,相對濕度,RH,%,202507,82
48,橋頭,143,小時風速值,WS_HR,m/sec,202507,2.2
49,仁武,1,二氧化硫,SO2,ppb,202507,0.8
49,仁武,2,一氧化碳,CO,ppm,202507,0.17
49,仁武,3,臭氧,O3,ppb,202507,25
49,仁武,4,懸浮微粒,PM10,μg/m3,202507,19
49,仁武,5,氮氧化物,NOx,ppb,202507,7.9
49,仁武,6,一氧化氮,NO,ppb,202507,1.3
49,仁武,7,二氧化氮,NO2,ppb,202507,6
49,仁武,8,總碳氫化物,THC,ppm,202507,1.96
49,仁武,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.05
49,仁武,10,風速,WIND_SPEED,m/sec,202507,2.1
49,仁武,14,溫度,AMB_TEMP,℃,202507,28.9
49,仁武,31,甲烷,CH4,ppm,202507,1.9
49,仁武,33,細懸浮微粒,PM2.5,μg/m3,202507,8.5
49,仁武,38,相對濕度,RH,%,202507,82
49,仁武,143,小時風速值,WS_HR,m/sec,202507,1.8
50,鳳山,1,二氧化硫,SO2,ppb,202507,1
50,鳳山,2,一氧化碳,CO,ppm,202507,0.28
50,鳳山,3,臭氧,O3,ppb,202507,23
50,鳳山,4,懸浮微粒,PM10,μg/m3,202507,21
50,鳳山,5,氮氧化物,NOx,ppb,202507,9
50,鳳山,6,一氧化氮,NO,ppb,202507,1.7
50,鳳山,7,二氧化氮,NO2,ppb,202507,7
50,鳳山,8,總碳氫化物,THC,ppm,202507,2.11
50,鳳山,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.1
50,鳳山,10,風速,WIND_SPEED,m/sec,202507,0.8
50,鳳山,14,溫度,AMB_TEMP,℃,202507,29.6
50,鳳山,31,甲烷,CH4,ppm,202507,2
50,鳳山,33,細懸浮微粒,PM2.5,μg/m3,202507,11.9
50,鳳山,38,相對濕度,RH,%,202507,84
50,鳳山,143,小時風速值,WS_HR,m/sec,202507,0.5
51,大寮,1,二氧化硫,SO2,ppb,202507,1.1
51,大寮,2,一氧化碳,CO,ppm,202507,0.18
51,大寮,3,臭氧,O3,ppb,202507,21
51,大寮,4,懸浮微粒,PM10,μg/m3,202507,27
51,大寮,5,氮氧化物,NOx,ppb,202507,7.8
51,大寮,6,一氧化氮,NO,ppb,202507,1.3
51,大寮,7,二氧化氮,NO2,ppb,202507,6
51,大寮,8,總碳氫化物,THC,ppm,202507,2.1
51,大寮,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.07
51,大寮,10,風速,WIND_SPEED,m/sec,202507,1.6
51,大寮,14,溫度,AMB_TEMP,℃,202507,28.5
51,大寮,31,甲烷,CH4,ppm,202507,2.02
51,大寮,33,細懸浮微粒,PM2.5,μg/m3,202507,10.8
51,大寮,38,相對濕度,RH,%,202507,88
51,大寮,143,小時風速值,WS_HR,m/sec,202507,1.3
52,林園,1,二氧化硫,SO2,ppb,202507,0.8
52,林園,2,一氧化碳,CO,ppm,202507,0.13
52,林園,3,臭氧,O3,ppb,202507,27
52,林園,4,懸浮微粒,PM10,μg/m3,202507,34
52,林園,5,氮氧化物,NOx,ppb,202507,3.5
52,林園,6,一氧化氮,NO,ppb,202507,0.7
52,林園,7,二氧化氮,NO2,ppb,202507,2
52,林園,8,總碳氫化物,THC,ppm,202507,1.97
